"observer","trial","targLoc","distLoc","targDiscrim","thought","tc","dc","RT","TrialTypeRT","distracter","distLocRel","pathLength","nFix","congC","distLocO","lookedAtTarg","lookedAtDist","lengthOK","captured"
"1",18,2,5,1,"direct",1,-1,1.261423,0,1,3,2.64236713237771,3,"incongruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",20,5,NA,1,"direct",1,0,0.74038,0,0,0,0.923137129262943,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",21,5,NA,1,"direct",-1,0,0.710119,0,0,0,0.918904111224343,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",22,1,NA,1,"direct",-1,0,0.603993,0,0,0,0.957214985551549,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",24,5,1,1,"direct",-1,-1,0.751674,0,1,5,1.0423726064052,3,"congruent",3,TRUE,FALSE,"TRUE","direct"
"1",25,5,NA,1,"direct",-1,0,0.752115,0,0,0,1.07471068281552,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",26,1,6,1,"direct",-1,1,0.746426,0,1,0,1.15290256596435,3,"incongruent",6,TRUE,TRUE,"TRUE","fixatedDistracter"
"1",27,4,2,1,"direct",1,-1,0.89473,0,1,2,1.03689344235518,3,"incongruent",5,TRUE,FALSE,"TRUE","direct"
"1",28,2,NA,1,"direct",1,0,0.823406,0,0,0,1.00866993735677,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",31,5,NA,1,"direct",-1,0,0.97949,0,0,0,1.10675437713503,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",32,2,NA,1,"direct",-1,0,0.913667,1.582881,0,0,0.959199223139876,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",33,4,5,1,"direct",1,-1,1.115289,0,1,5,1.08723599204528,3,"incongruent",2,TRUE,FALSE,"TRUE","direct"
"1",34,4,4,1,"captured",-1,1,1.360206,1.715626,1,4,1.17644354504581,4,"incongruent",1,TRUE,TRUE,"TRUE","fixatedDistracter"
"1",36,6,NA,1,"direct",1,0,0.85804,0,0,0,2.77420321054026,4,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",37,1,NA,1,"direct",1,0,1.111228,0,0,0,1.21930860145144,3,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",39,1,NA,1,"direct",1,0,0.700192,0,0,0,1.03190505059684,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",41,5,6,1,"direct",1,1,1.208256,1.864646,1,4,2.07501085604805,4,"congruent",2,TRUE,FALSE,"FALSE","tooLong"
"1",42,3,3,1,"direct",-1,-1,1.323163,0,1,5,1.119017846538,3,"congruent",1,TRUE,FALSE,"TRUE","direct"
"1",43,3,NA,1,"direct",-1,0,0.897419,1.360861,0,0,1.08696473468574,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",44,1,3,1,"direct",-1,-1,1.304272,0,1,3,2.91893318162555,4,"congruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",46,2,1,1,"captured",-1,-1,0.99046,0.870202,1,5,1.87116714898659,5,"congruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",47,4,3,1,"direct",1,-1,0.756592,0,1,3,1.25396858166234,3,"incongruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",48,4,4,1,"direct",-1,1,0.89771,1.757013,1,4,1.47140165387101,4,"incongruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",49,3,1,1,"direct",1,-1,0.939071,0,1,2,1.12090461414853,3,"incongruent",5,TRUE,FALSE,"TRUE","direct"
"1",50,4,NA,1,"direct",1,0,0.589562,0,0,0,0.946417226389213,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",52,1,2,1,"direct",1,1,1.188115,0,1,2,2.04275630822744,4,"congruent",2,TRUE,FALSE,"FALSE","tooLong"
"1",53,2,6,1,"captured",1,-1,1.02739,1.210344,1,2,2.41426762958418,4,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",54,1,1,1,"captured",1,-1,0.968659,0.918407,1,1,1.52857568190524,4,"incongruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",56,1,4,1,"captured",1,1,1.096298,0.692334,1,3,3.45921771517451,5,"congruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",57,5,NA,1,"direct",-1,0,1.043594,1.009587,0,0,1.00537169609774,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",58,3,NA,1,"direct",1,0,0.901853,0,0,0,1.09706292980708,4,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",60,1,NA,1,"direct",1,0,0.693388,1.947515,0,0,1.07954906233043,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",61,2,6,1,"direct",-1,-1,1.358537,0,1,2,0.900489832288579,3,"congruent",5,TRUE,FALSE,"TRUE","direct"
"1",62,3,3,1,"direct",1,1,0.821892,1.523504,1,5,1.21306600558184,4,"congruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",63,5,1,1,"direct",1,1,0.716765,0,1,5,1.00538140949813,2,"congruent",3,TRUE,FALSE,"TRUE","direct"
"1",64,3,2,1,"direct",1,1,0.883789,1.537485,1,4,1.02605518239434,3,"congruent",6,TRUE,FALSE,"TRUE","direct"
"1",65,6,NA,1,"direct",1,0,0.554182,1.31196,0,0,1.05587613864791,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",66,4,6,1,"direct",1,1,0.607745,1.189499,1,0,0.971893212248972,2,"congruent",3,TRUE,FALSE,"TRUE","direct"
"1",67,1,NA,1,"direct",1,0,0.476493,0,0,0,1.04989863315111,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",68,5,NA,1,"direct",-1,0,0.575986,1.018237,0,0,0.929376014652481,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",69,3,NA,1,"direct",1,0,0.791313,1.004533,0,0,0.95491047258756,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",72,3,NA,1,"captured",1,0,0.887778,1.021081,0,0,1.10566886038951,4,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",73,6,5,1,"captured",-1,1,1.133995,0.802975,1,1,1.33433020225031,3,"incongruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",74,5,1,1,"captured",-1,1,1.109053,0.653584,1,5,3.01699961503981,4,"incongruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",75,4,3,1,"direct",-1,1,1.169495,0.906099,1,3,1.32927424344046,3,"incongruent",6,TRUE,FALSE,"FALSE","tooLong"
"1",76,5,NA,1,"direct",-1,0,0.576479,1.171862,0,0,1.18548925364189,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",77,1,2,1,"direct",1,-1,0.862439,0,1,2,2.34578118919482,4,"incongruent",2,TRUE,FALSE,"FALSE","tooLong"
"1",78,6,3,1,"direct",1,-1,0.823444,2.52369,1,3,2.90842726804562,4,"incongruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",79,5,NA,1,"direct",1,0,0.822519,1.697702,0,0,1.05711475614808,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",81,1,1,1,"captured",-1,-1,1.163808,1.188962,1,1,1.68779089656673,4,"congruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",83,1,4,1,"captured",-1,1,0.942914,0.756063,1,3,1.29239343795173,3,"incongruent",4,TRUE,FALSE,"FALSE","tooLong"
"1",87,4,NA,1,"direct",-1,0,0.498435,0,0,0,0.870491401187292,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",88,1,NA,1,"direct",-1,0,0.577724,1.875974,0,0,1.07773501211924,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",89,2,2,1,"direct",1,1,0.727661,1.040291,1,0,1.16440467188442,3,"congruent",1,TRUE,TRUE,"TRUE","fixatedDistracter"
"1",90,1,NA,1,"direct",-1,0,0.791433,0.873498,0,0,1.1259691599117,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",91,6,NA,1,"direct",-1,0,0.703498,0.693886,0,0,1.05958361526788,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",92,4,4,1,"direct",1,1,0.628038,1.252983,1,4,1.24245839706874,3,"congruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",95,1,NA,1,"captured",1,0,0.969664,2.379346,0,0,1.07475192734057,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",96,3,3,1,"direct",1,-1,1.00541,0,1,5,0.982147834543494,3,"incongruent",1,TRUE,FALSE,"TRUE","direct"
"1",97,4,NA,1,"direct",1,0,0.598382,0,0,0,1.67767884603719,3,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",99,2,NA,1,"direct",1,0,0.410589,0.94485,0,0,0.977439996385049,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",100,2,NA,1,"direct",-1,0,0.726579,0.997716,0,0,0.979064436206458,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",101,2,NA,1,"direct",1,0,0.856467,0.812419,0,0,0.973484602717739,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",102,1,NA,1,"direct",-1,0,0.765594,0.501539,0,0,1.25425205547367,3,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",103,3,NA,1,"direct",-1,0,0.815427,0.894338,0,0,1.11769941306381,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",104,3,NA,1,"direct",1,0,0.887505,0.476934,0,0,0.994528750304441,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",105,4,NA,1,"direct",-1,0,0.719616,0.516122,0,0,1.10220323046926,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",106,3,NA,1,"direct",1,0,0.919461,0.738946,0,0,1.05012768576412,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",107,6,2,1,"captured",1,-1,1.142582,0.673437,1,4,2.8728436758686,4,"incongruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",108,2,NA,1,"direct",-1,0,0.701152,0.758658,0,0,1.08759245020735,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",110,1,NA,1,"direct",-1,0,1.057037,1.277769,0,0,1.1089492195687,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",111,1,6,1,"direct",1,1,1.071723,0,1,0,1.40872435511922,3,"congruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",112,3,NA,1,"direct",-1,0,1.366062,1.525615,0,0,1.08521839497778,4,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",113,1,NA,1,"direct",-1,0,1.0079,1.945063,0,0,1.10766276866293,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",114,1,1,1,"direct",1,1,0.739117,0,1,1,1.29404469689155,3,"congruent",1,TRUE,FALSE,"FALSE","tooLong"
"1",115,2,2,1,"captured",1,-1,1.049878,1.017055,1,0,1.44603433096649,5,"incongruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",116,2,3,1,"captured",-1,1,1.287483,0.717418,1,1,2.13934623159804,4,"incongruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",117,3,NA,1,"direct",1,0,0.755207,0.463363,0,0,1.05053905082962,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",119,2,NA,1,"direct",1,0,0.627168,1.101937,0,0,1.15497917927164,4,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",120,2,3,1,"direct",1,1,0.655917,2.121846,1,1,1.98739648047755,4,"congruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",122,1,4,1,"captured",1,-1,1.214778,1.284494,1,3,3.18289449477596,4,"incongruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",123,2,1,1,"direct",-1,1,0.971994,1.95295,1,5,1.49231447038058,3,"incongruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",124,2,NA,1,"direct",1,0,0.985525,0.924803,0,0,1.05398501578909,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",125,3,NA,1,"direct",1,0,0.64417,4.067681,0,0,1.09089002476995,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",127,5,NA,1,"direct",1,0,1.126802,1.10077,0,0,3.41339342806393,5,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",132,2,3,1,"direct",1,1,0.70326,0,1,1,1.47983272484076,3,"congruent",2,TRUE,FALSE,"FALSE","tooLong"
"1",133,1,NA,1,"direct",1,0,1.023519,0.540036,0,0,1.35002859284711,4,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",136,1,4,1,"direct",-1,-1,1.082989,1.316505,1,3,3.18701428694599,4,"congruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",138,3,1,1,"direct",1,1,1.012922,1.012724,1,2,1.10610837611215,3,"congruent",5,TRUE,FALSE,"TRUE","direct"
"1",139,5,NA,1,"direct",1,0,0.694696,0.899775,0,0,0.983576374945821,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",140,2,1,1,"direct",-1,1,0.80638,0.81232,1,5,1.14598116932482,3,"incongruent",6,TRUE,TRUE,"TRUE","fixatedDistracter"
"1",142,1,NA,1,"direct",-1,0,0.724143,0.917812,0,0,1.08344827677976,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",145,3,NA,1,"direct",-1,0,0.715691,0.999614,0,0,1.08700469288533,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",146,3,3,1,"captured",1,1,1.031387,1.397396,1,5,1.40357930186873,4,"congruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",147,3,NA,1,"direct",1,0,0.97758,1.318383,0,0,1.10610912115384,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",148,1,5,1,"direct",1,-1,0.970433,1.394676,1,2,2.61192950895571,3,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",150,6,NA,1,"direct",1,0,0.915483,1.467569,0,0,1.44753000967706,3,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",151,3,NA,1,"direct",1,0,0.670468,0,0,0,1.02627713285445,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",152,6,NA,1,"direct",1,0,0.784932,2.163244,0,0,1.48378572129865,3,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",153,4,NA,1,"direct",1,0,0.651272,1.291067,0,0,0.980382917682271,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",154,3,NA,1,"direct",-1,0,1.062062,1.083146,0,0,1.1470472023793,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",155,4,2,1,"direct",1,-1,0.794672,1.037587,1,2,2.05778725140877,3,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",156,3,4,1,"direct",1,-1,1.104411,1.887505,1,0,2.44045506912759,5,"incongruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",157,3,6,1,"direct",1,-1,1.225298,0,1,3,1.12558427215671,4,"incongruent",4,TRUE,FALSE,"TRUE","direct"
"1",158,5,NA,1,"direct",1,0,1.254264,1.416152,0,0,1.01389906143307,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",159,3,2,1,"direct",1,-1,0.98764,4.083124,1,4,1.24727147169073,4,"incongruent",6,TRUE,FALSE,"FALSE","tooLong"
"1",161,2,NA,1,"direct",-1,0,1.012825,0.629981,0,0,1.10504288560639,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",166,2,NA,1,"direct",-1,0,0.654184,2.778836,0,0,1.10900409067648,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",167,5,NA,1,"direct",1,0,0.810654,0.634587,0,0,1.06629613957633,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",168,5,5,1,"captured",1,-1,0.837322,1.337426,1,3,1.46670028678387,3,"incongruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",169,4,3,1,"captured",1,1,1.010332,1.500259,1,3,1.46480618872966,3,"congruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",170,3,5,1,"captured",-1,1,0.975491,0.669425,1,1,2.83729147861319,3,"incongruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",171,1,NA,1,"direct",-1,0,0.620842,1.193372,0,0,1.16349431655604,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",172,1,NA,1,"direct",1,0,0.435893,1.505333,0,0,1.09045716663947,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",173,3,6,1,"captured",1,-1,1.015025,1.450775,1,3,0.903726281241311,2,"incongruent",4,TRUE,FALSE,"TRUE","direct"
"1",174,5,2,1,"direct",1,-1,1.183042,1.520122,1,3,0.957356449850479,2,"incongruent",4,TRUE,FALSE,"TRUE","direct"
"1",176,5,NA,1,"direct",-1,0,0.732998,2.501303,0,0,1.18108340202168,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",177,2,6,1,"captured",1,1,1.135535,0.602427,1,2,2.20778121666826,5,"congruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",178,6,4,1,"captured",1,-1,1.036984,0.534549,1,2,2.48521453935767,3,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",179,4,NA,1,"direct",1,0,0.817396,3.089403,0,0,1.17245844117834,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",181,3,2,1,"direct",1,1,0.798639,0.582513,1,4,1.20566965607882,3,"congruent",6,TRUE,FALSE,"FALSE","tooLong"
"1",182,3,NA,1,"direct",1,0,0.833287,0.752437,0,0,1.12329365495132,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",186,5,NA,1,"direct",1,0,0.700856,0,0,0,1.06671848965959,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",187,5,NA,1,"direct",1,0,0.757153,1.014339,0,0,1.073749466217,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",188,3,NA,1,"captured",-1,0,0.923329,0.598436,0,0,1.16224866978866,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",189,1,NA,1,"direct",-1,0,0.704806,1.006021,0,0,0.927972584549663,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",190,4,2,1,"direct",-1,-1,0.756992,0.90727,1,2,1.3176345097183,3,"congruent",5,TRUE,FALSE,"FALSE","tooLong"
"1",191,5,6,1,"direct",-1,1,0.596231,0.713307,1,4,2.26077223326421,3,"incongruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",192,1,1,1,"captured",1,1,0.844832,1.106536,1,1,1.05613110115744,2,"congruent",1,TRUE,FALSE,"TRUE","direct"
"1",194,1,3,1,"captured",-1,-1,1.146877,0.567912,1,3,2.85176902809753,3,"congruent",3,TRUE,FALSE,"FALSE","tooLong"
"1",195,2,2,1,"direct",1,1,0.961281,1.178863,1,0,1.12491400091142,4,"congruent",1,TRUE,FALSE,"TRUE","direct"
"1",197,1,2,1,"direct",1,1,1.129769,2.034348,1,2,2.52529190710078,4,"congruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",198,1,NA,1,"direct",-1,0,1.123372,1.127149,0,0,1.27650856077954,4,"no distracter",0,TRUE,FALSE,"FALSE","tooLong"
"1",199,1,6,1,"direct",-1,1,1.143085,0.936779,1,0,1.54573872523959,3,"incongruent",6,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",200,1,2,1,"direct",-1,-1,0.846678,0.99137,1,2,1.08265191190591,2,"congruent",2,TRUE,FALSE,"TRUE","direct"
"1",201,3,2,1,"direct",-1,-1,1.067427,1.033154,1,4,1.04875521239698,3,"congruent",6,TRUE,FALSE,"TRUE","direct"
"1",202,1,5,1,"direct",-1,1,0.80113,1.035958,1,2,1.95348131820591,3,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",203,3,4,1,"direct",-1,1,1.017425,1.049316,1,0,1.30244016032113,5,"incongruent",2,TRUE,FALSE,"FALSE","tooLong"
"1",204,2,NA,1,"direct",-1,0,0.663246,0.63434,0,0,1.00398517531078,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",205,4,NA,1,"direct",1,0,0.700562,0.706639,0,0,1.06483211315234,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",206,3,2,1,"direct",1,-1,0.773443,0.896314,1,4,1.17153849274667,3,"incongruent",6,TRUE,FALSE,"TRUE","direct"
"1",207,6,NA,1,"direct",1,0,0.816315,2.067782,0,0,1.11573236199963,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",208,3,NA,1,"captured",-1,0,0.61306,0.694062,0,0,1.1351276574132,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",209,4,NA,1,"direct",-1,0,0.582207,0.831694,0,0,0.99871996016796,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",210,1,3,1,"direct",1,1,0.570604,1.416068,1,3,2.11945523526696,3,"congruent",3,TRUE,FALSE,"FALSE","tooLong"
"1",211,3,NA,1,"direct",1,0,0.714842,0.78473,0,0,0.889799593532381,2,"no distracter",0,FALSE,FALSE,"TRUE","none"
"1",212,4,NA,1,"direct",-1,0,0.620962,0.793585,0,0,0.946219299705288,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",213,5,NA,1,"direct",-1,0,0.555646,0.642318,0,0,0.971955775004426,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",216,6,2,1,"direct",-1,1,1.127813,1.355027,1,4,1.12633099717032,3,"incongruent",3,TRUE,FALSE,"TRUE","direct"
"1",217,6,6,1,"direct",1,-1,0.655261,0.714435,1,2,1.35846448285377,3,"incongruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",218,1,3,1,"captured",1,1,0.611643,0.614891,1,3,2.88075450138344,3,"congruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",219,1,NA,1,"captured",-1,0,0.490641,0.743731,0,0,1.08947434375626,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",220,3,NA,1,"captured",1,0,0.622915,2.623792,0,0,0.930610426871289,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",221,5,5,1,"direct",-1,-1,0.744186,1.53512,1,3,1.55772071642419,3,"congruent",1,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",222,1,NA,1,"direct",1,0,0.471954,1.350629,0,0,1.16356008453045,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",223,2,6,1,"direct",-1,1,0.654229,1.41098,1,2,2.00099471436512,3,"incongruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",224,5,NA,1,"direct",-1,0,0.52697,2.032306,0,0,0.999142240767127,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",225,1,NA,1,"captured",-1,0,0.606841,0.859291,0,0,1.05675174150037,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",226,6,NA,1,"direct",1,0,0.75592,0.648875,0,0,1.14403986358547,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",227,6,NA,1,"direct",1,0,0.634035,0.766751,0,0,1.14251615750764,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",229,1,NA,1,"direct",1,0,0.656887,1.163886,0,0,1.18206091137157,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",230,2,NA,1,"captured",1,0,0.517598,0.563268,0,0,0.882374234410084,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",231,1,5,1,"direct",1,1,0.593941,2.891916,1,2,2.08399640474517,3,"congruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",232,3,4,1,"direct",-1,-1,0.836346,0.761082,1,0,2.51052419022961,4,"congruent",2,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",233,3,4,1,"direct",1,1,1.269827,1.404868,1,0,1.11610423728676,3,"congruent",2,TRUE,FALSE,"TRUE","direct"
"1",234,6,NA,1,"direct",1,0,0.809765,1.092545,0,0,1.01461157371075,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",236,2,NA,1,"captured",-1,0,0.891284,1.285897,0,0,1.05481464919149,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",237,5,NA,1,"direct",-1,0,0.729606,0.58956,0,0,1.02836273134851,2,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",238,5,2,1,"direct",-1,1,1.248916,0.846559,1,3,2.44032090138291,3,"incongruent",4,TRUE,FALSE,"FALSE","tooLong"
"1",241,2,6,1,"direct",-1,-1,1.173402,1.667039,1,2,2.49508217937279,3,"congruent",5,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",242,2,4,1,"direct",-1,1,0.657558,0.744636,1,2,1.04231456404058,3,"incongruent",3,TRUE,FALSE,"TRUE","direct"
"1",243,6,3,1,"captured",1,1,1.038006,1.887387,1,3,2.99346520779718,4,"congruent",4,TRUE,TRUE,"FALSE","fixatedDistracter"
"1",244,4,1,1,"direct",1,1,0.861674,1.319331,1,3,1.06155612084575,2,"congruent",4,TRUE,FALSE,"TRUE","direct"
"1",245,6,NA,1,"direct",-1,0,0.956299,3.837027,0,0,1.0609172131984,3,"no distracter",0,TRUE,FALSE,"TRUE","direct"
"1",246,2,4,1,"captured",-1,1,1.444287,1.421757,1,2,2.79891008212164,3,"incongruent",3,TRUE,TRUE,"FALSE","fixatedDistracter"
